Date,SPY,GS,MSFT,TLT,MRK
4/11/2014,156.97963,133.847382,33.804138,92.615143,41.130787
4/14/2014,158.21637,135.617691,33.778267,92.372559,40.873348
4/15/2014,159.306152,135.775467,34.269688,92.949654,41.226395
4/16/2014,160.975266,137.791306,34.830063,93.066803,41.380859
4/17/2014,161.200104,137.984055,34.493847,92.046394,41.535316
4/21/2014,161.762268,138.299561,34.433483,91.971092,42.109035
4/22/2014,162.497437,140.630875,34.476585,92.280548,42.491516
4/23/2014,162.116913,140.622101,34.21796,92.807503,42.292919
4/24/2014,162.445541,140.972626,34.364513,92.983086,42.31498
4/25/2014,161.113647,138.685226,34.407619,93.116951,42.101677
4/28/2014,161.623932,137.195282,35.235271,92.665298,41.689781
4/29/2014,162.376312,138.685226,34.9249,92.539841,43.190273
4/30/2014,162.860687,140.069946,34.830063,92.924591,43.072582
5/1/2014,162.877975,140.552002,34.485226,93.921463,43.852245
5/2/2014,162.644455,139.246109,34.21796,94.500038,42.822506
5/5/2014,162.955795,137.028732,33.993805,93.929855,43.124069
5/6/2014,161.53743,135.442459,33.674816,94.307175,42.006054
5/7/2014,162.488815,136.301346,33.985188,93.97184,41.071949
5/8/2014,162.315781,137.94902,34.174858,93.569359,40.329056
5/9/2014,162.557983,137.773697,34.088634,93.267517,40.608559
5/12/2014,164.140686,139.833313,34.459362,92.890205,40.6674
5/13/2014,164.287659,140.473099,35.093151,93.695122,41.005749
5/14/2014,163.509338,139.745667,34.936874,94.709595,41.461769
5/15/2014,162.073624,137.282898,34.381207,95.464203,41.108707
5/16/2014,162.635803,137.098846,34.580906,95.195908,41.094009
5/19/2014,163.23259,138.185638,34.51144,94.491615,41.447056
5/20/2014,162.2034,137.028732,34.45068,94.701218,41.189621
5/21/2014,163.569855,139.658035,35.032364,94.122719,41.616234
5/22/2014,163.967651,140.096237,34.815323,93.988525,41.550037
5/23/2014,164.624969,140.367935,34.832687,94.491615,41.785397
5/27/2014,165.63681,141.778976,34.893459,95.044975,41.697136
5/28/2014,165.515778,141.752579,34.737175,96.218796,41.483845
5/29/2014,166.371933,141.356842,35.023685,95.707359,42.440029
5/30/2014,166.64006,140.538986,35.544613,95.665413,42.557705
6/2/2014,166.830322,140.732483,35.414398,94.954269,42.609192
